呼啸山庄,8.4,58229人评价,https://book.douban.com/subject/1119522/,近乎暴虐的爱与恨，中文译名后无来者
笑傲江湖（全四册）,9.0,50663人评价,https://book.douban.com/subject/1002299/,武侠的壳，政治斗争的核
少有人走的路,8.4,56534人评价,https://book.douban.com/subject/1775691/,成熟的心智通向更完善的自我
民主的细节,8.6,54437人评价,https://book.douban.com/subject/3813669/,公民养成手册
亲爱的安德烈,8.7,54870人评价,https://book.douban.com/subject/3369793/,龙应台母子对话，两代人的思想碰撞
灿烂千阳,8.8,54058人评价,https://book.douban.com/subject/2143732/,唯有希望与爱可以驱散阴霾
老人与海,8.3,55539人评价,https://book.douban.com/subject/1064275/,正是悲壮赋予生活以意义
遇见未知的自己,8.1,54826人评价,https://book.douban.com/subject/2340100/,都市灵修速成
一九八四·动物农场,9.3,24899人评价,https://book.douban.com/subject/1082387/,一个预言和一个寓言，令人窒息的政治恐怖
牧羊少年奇幻之旅,8.6,55116人评价,https://book.douban.com/subject/3608208/,你自己就是最大的宝藏
福尔摩斯探案全集（上中下）,9.2,49083人评价,https://book.douban.com/subject/1040211/,侦探小说鼻祖
小时代1.0折纸时代,6.5,60888人评价,https://book.douban.com/subject/3191328/,温习了很多奢侈品品牌名称
洛丽塔,7.7,54823人评价,https://book.douban.com/subject/1465324/,我的生命之光，我的欲望之火
百年孤独,8.9,47897人评价,https://book.douban.com/subject/1786670/,拉丁美洲圣经
1Q84 BOOK 2,8.4,50911人评价,https://book.douban.com/subject/4885241/,情节铺展渐次清明，高潮序曲
素年锦时,7.8,52050人评价,https://book.douban.com/subject/2256438/,呢喃自语，清简自持
情书,8.6,48419人评价,https://book.douban.com/subject/1080370/,一场误会中的两段爱情，东方式的含蓄隐忍
第一次的亲密接触,7.4,52894人评价,https://book.douban.com/subject/1024217/,那时候，去麦当劳约会还很高端……
神雕侠侣,8.8,46249人评价,https://book.douban.com/subject/1255624/,至情至性，情大于武
一座城池,7.4,52386人评价,https://book.douban.com/subject/1453210/,可能是韩寒最好笑的小说
茶花女,8.2,49727人评价,https://book.douban.com/subject/1013380/,妓女应当拥有爱情吗？
麦田里的守望者,7.9,51279人评价,https://book.douban.com/subject/1082518/,塞林格的麦田里，到处是坠落的青春
他的国,7.5,50842人评价,https://book.douban.com/subject/3394338/,总有光芒将你引导到清澈的地方
彼岸花,7.8,48660人评价,https://book.douban.com/subject/1065970/,安妮宝贝第一部长篇，现实与虚构的重合
西决,7.9,47985人评价,https://book.douban.com/subject/3598313/,无关风月的非典型青春小说
东方快车谋杀案,9.0,39250人评价,https://book.douban.com/subject/1827374/,谋杀诡计惊人，波洛的抉择耐人寻味
挪威的森林,8.5,48448人评价,https://book.douban.com/subject/2159042/,初读是色情，再读是爱情，三读是世情
这些都是你给我的爱,8.4,44443人评价,https://book.douban.com/subject/4714734/,只言片语的温暖
这些人，那些事,8.8,43504人评价,https://book.douban.com/subject/6388661/,平淡叙述下的惊心动魄
八月未央,7.5,48326人评价,https://book.douban.com/subject/1029159/,八月是一阵季风，生命是一场幻觉
当我谈跑步时我谈些什么,8.1,46383人评价,https://book.douban.com/subject/3369600/,村上同志告诉我们，身体是革命的本钱
明朝那些事儿（贰）,8.9,42552人评价,https://book.douban.com/subject/1949338/,万国来朝与北京保卫战，燃
清醒纪,7.9,45082人评价,https://book.douban.com/subject/1030052/,遗忘就和记得一样是送给彼此的纪念
